,S.No,Time,Call
244,244,0.00364,slice change
245,245,0.003701,slice change
246,246,0.003539,slice change
247,247,0.003627,slice change
248,248,0.003515,slice change
249,249,0.003527,slice change
250,250,0.003613,slice change
251,251,0.003572,slice change
252,252,0.003629,slice change
253,253,0.003654,slice change
254,254,0.003623,slice change
255,255,0.00365,slice change
256,256,0.003657,slice change
257,257,0.003586,slice change
258,258,0.003713,slice change
259,259,0.003683,slice change
260,260,0.003552,slice change
261,261,0.003603,slice change
262,262,0.003633,slice change
263,263,0.00361,slice change
264,264,0.003733,slice change
265,265,0.002157,slice change
266,266,0.001668,slice change
267,267,0.003639,slice change
268,268,0.00368,slice change
269,269,0.003612,slice change
270,270,0.003584,slice change
271,271,0.001718,slice change
272,272,0.003601,slice change
273,273,0.003622,slice change
274,274,0.00098,slice change
275,275,0.000969,slice change
276,276,0.003584,slice change
277,277,0.003836,slice change
278,278,0.007452,slice change
279,279,0.003624,slice change
280,280,0.003603,slice change
281,281,0.003662,slice change
282,282,0.001655,slice change
283,283,0.00366,slice change
284,284,0.003659,slice change
285,285,0.003657,slice change
286,286,0.003713,slice change
287,287,0.003634,slice change
288,288,0.003538,slice change
289,289,0.003695,slice change
290,290,0.003572,slice change
291,291,0.003649,slice change
292,292,0.001059,slice change
293,293,0.001022,slice change
294,294,0.000895,slice change
295,295,0.003676,slice change
296,296,0.003661,slice change
297,297,0.003666,slice change
298,298,0.003677,slice change
299,299,0.003664,slice change
300,300,0.003631,slice change
301,301,0.003625,slice change
302,302,0.003582,slice change
303,303,0.003722,slice change
304,304,0.00364,slice change
305,305,0.003512,slice change
306,306,0.003587,slice change
307,307,0.003704,slice change
308,308,0.003597,slice change
309,309,0.001011,slice change
310,310,0.002698,slice change
311,311,0.001529,slice change
312,312,0.003557,slice change
313,313,0.003175,slice change
314,314,0.003665,slice change
315,315,0.003705,slice change
316,316,0.003703,slice change
317,317,0.00338,slice change
318,318,0.001411,slice change
319,319,0.003691,slice change
320,320,0.000998,slice change
321,321,0.003692,slice change
322,322,0.003682,slice change
323,323,0.003576,slice change
324,324,0.003624,slice change
325,325,0.002111,slice change
326,326,0.003592,slice change
327,327,0.00365,slice change
328,328,0.003629,slice change
329,329,0.003614,slice change
330,330,0.003527,slice change
331,331,0.003619,slice change
332,332,0.003755,slice change
333,333,0.003569,slice change
334,334,0.003566,slice change
335,335,0.003609,slice change
336,336,0.00362,slice change
337,337,0.001052,slice change
338,338,0.003573,slice change
339,339,0.002175,slice change
340,340,0.003717,slice change
341,341,0.003609,slice change
342,342,0.003639,slice change
343,343,0.00366,slice change
344,344,0.003613,slice change
345,345,0.003525,slice change
346,346,0.00371,slice change
347,347,0.003548,slice change
348,348,0.003602,slice change
349,349,0.000987,slice change
350,350,0.000897,slice change
351,351,0.003671,slice change
352,352,0.003568,slice change
353,353,0.003646,slice change
354,354,0.003586,slice change
355,355,0.003624,slice change
356,356,0.003605,slice change
357,357,0.001464,slice change
358,358,0.003572,slice change
359,359,0.003632,slice change
360,360,0.003621,slice change
361,361,0.003644,slice change
362,362,0.003687,slice change
363,363,0.003633,slice change
364,364,0.003626,slice change
365,365,0.003588,slice change
366,366,0.001258,slice change
367,367,0.003672,slice change
368,368,0.003552,slice change
369,369,0.003639,slice change
370,370,0.003689,slice change
371,371,0.003537,slice change
372,372,0.003643,slice change
373,373,0.003624,slice change
374,374,0.003522,slice change
375,375,0.001072,slice change
376,376,0.003344,slice change
377,377,0.003647,slice change
378,378,0.003678,slice change
379,379,0.003714,slice change
380,380,0.001055,slice change
381,381,0.003524,slice change
382,382,0.003585,slice change
383,383,0.003644,slice change
384,384,0.003672,slice change
385,385,0.00372,slice change
386,386,0.003629,slice change
387,387,0.003618,slice change
388,388,0.00368,slice change
389,389,0.003642,slice change
390,390,0.001857,slice change
391,391,0.003703,slice change
392,392,0.003648,slice change
393,393,0.003648,slice change
394,394,0.00361,slice change
395,395,0.003584,slice change
396,396,0.003556,slice change
397,397,0.003588,slice change
398,398,0.003596,slice change
399,399,0.003718,slice change
400,400,0.003592,slice change
401,401,0.003606,slice change
402,402,0.001302,slice change
403,403,0.00368,slice change
404,404,0.003554,slice change
405,405,0.003629,slice change
406,406,0.003649,slice change
407,407,0.003587,slice change
408,408,0.00359,slice change
409,409,0.003719,slice change
410,410,0.001003,slice change
411,411,0.003565,slice change
412,412,0.003699,slice change
413,413,0.003629,slice change
414,414,0.001,slice change
415,415,0.003587,slice change
416,416,0.003555,slice change
417,417,0.00363,slice change
418,418,0.003626,slice change
419,419,0.003563,slice change
420,420,0.003649,slice change
421,421,0.003564,slice change
422,422,0.001644,slice change
423,423,0.003557,slice change
424,424,0.003639,slice change
425,425,0.003597,slice change
426,426,0.003602,slice change
427,427,0.004035,slice change
428,428,0.003625,slice change
429,429,0.003607,slice change
430,430,0.003612,slice change
431,431,0.003576,slice change
432,432,0.003658,slice change
433,433,0.003585,slice change
434,434,0.003712,slice change
435,435,0.003591,slice change
436,436,0.003592,slice change
437,437,0.001318,slice change
438,438,0.003535,slice change
439,439,0.001017,slice change
440,440,0.003612,slice change
441,441,0.003578,slice change
442,442,0.003689,slice change
443,443,0.003654,slice change
444,444,0.003704,slice change
445,445,0.003604,slice change
446,446,0.003625,slice change
447,447,0.003587,slice change
448,448,0.00364,slice change
449,449,0.003612,slice change
450,450,0.003639,slice change
451,451,0.003642,slice change
452,452,0.00353,slice change
453,453,0.003629,slice change
454,454,0.003652,slice change
455,455,0.000978,slice change
456,456,0.001418,slice change
457,457,0.003626,slice change
458,458,0.003597,slice change
459,459,0.00358,slice change
460,460,0.003602,slice change
461,461,0.0036,slice change
462,462,0.003767,slice change
463,463,0.003574,slice change
464,464,0.003637,slice change
465,465,0.003612,slice change
